00:00:00:00:00:00	Officially Xerox
00:A0:78:00:00:00	Marconi Communications
00:A0:79:00:00:00	ALPS ELECTRIC (USA), INC.
00:A0:7A:00:00:00	ADVANCED PERIPHERALS TECHNOLOGIES, INC.
00:A0:7B:00:00:00	DAWN COMPUTER INCORPORATION
00:A0:7C:00:00:00	TONYANG NYLON CO., LTD.
00:A0:7D:00:00:00	SEEQ TECHNOLOGY, INC.
00:A0:7E:00:00:00	AVID TECHNOLOGY, INC.
00:A0:7F:00:00:00	GSM-SYNTEL, LTD.
00:A0:80:00:00:00	Tattile SRL
00:A0:81:00:00:00	ALCATEL DATA NETWORKS
00:A0:82:00:00:00	NKT ELEKTRONIK A/S
00:A0:83:00:00:00	Intel
00:A0:84:00:00:00	Dataplex Pty Ltd
00:A0:85:00:00:00	Private
00:A0:86:00:00:00	AMBER WAVE SYSTEMS, INC.
00:A0:87:00:00:00	Microsemi Corporation
00:A0:88:00:00:00	ESSENTIAL COMMUNICATIONS
00:A0:89:00:00:00	XPOINT TECHNOLOGIES, INC.
00:A0:8A:00:00:00	BROOKTROUT TECHNOLOGY, INC.
00:A0:8B:00:00:00	ASTON ELECTRONIC DESIGNS LTD.
00:A0:8C:00:00:00	MultiMedia LANs, Inc.
00:A0:8D:00:00:00	JACOMO CORPORATION
00:A0:8E:00:00:00	Check Point Software Technologies
00:A0:8F:00:00:00	DESKNET SYSTEMS, INC.
00:A0:90:00:00:00	TimeStep Corporation
00:A0:91:00:00:00	APPLICOM INTERNATIONAL
00:A0:92:00:00:00	Intermate International  [LAN printer interfaces]
00:A0:93:00:00:00	B/E AEROSPACE, Inc.
00:A0:94:00:00:00	COMSAT CORPORATION
00:A0:95:00:00:00	ACACIA NETWORKS, INC.
00:A0:96:00:00:00	MITSUMI ELECTRIC CO., LTD.
00:A0:97:00:00:00	JC INFORMATION SYSTEMS
00:A0:98:00:00:00	Netapp
00:A0:99:00:00:00	K-NET LTD.
00:A0:9A:00:00:00	NIHON KOHDEN AMERICA
00:A0:9B:00:00:00	QPSX COMMUNICATIONS, LTD.
00:A0:9C:00:00:00	Xyplex, Inc.
00:A0:9D:00:00:00	JOHNATHON FREEMAN TECHNOLOGIES
00:A0:9E:00:00:00	Ictv
00:A0:9F:00:00:00	COMMVISION CORP.
00:A0:A0:00:00:00	COMPACT DATA, LTD.
00:A0:A1:00:00:00	EPIC DATA INC.
00:A0:A2:00:00:00	DIGICOM S.P.A.
00:A0:A3:00:00:00	RELIABLE POWER METERS
00:A0:A4:00:00:00	Oracle Corporation
00:A0:A5:00:00:00	TEKNOR MICROSYSTEME, INC.
00:A0:A6:00:00:00	M.I. SYSTEMS, K.K.
00:A0:A7:00:00:00	VORAX CORPORATION
00:A0:A8:00:00:00	RENEX CORPORATION
00:A0:A9:00:00:00	NAVTEL COMMUNICATIONS INC.
00:A0:AA:00:00:00	SPACELABS MEDICAL
00:A0:AB:00:00:00	NETCS INFORMATIONSTECHNIK GMBH
00:A0:AC:00:00:00	GILAT SATELLITE NETWORKS, LTD.
00:A0:AD:00:00:00	MARCONI SPA
00:A0:AE:00:00:00	Network Peripherals, Inc.
00:A0:AF:00:00:00	WMS INDUSTRIES
00:A0:B0:00:00:00	I-O DATA DEVICE, INC.
00:A0:B1:00:00:00	FIRST VIRTUAL CORPORATION
00:A0:B2:00:00:00	SHIMA SEIKI
00:A0:B3:00:00:00	Zykronix
00:A0:B4:00:00:00	TEXAS MICROSYSTEMS, INC.
00:A0:B5:00:00:00	3H TECHNOLOGY
00:A0:B6:00:00:00	SANRITZ AUTOMATION CO., LTD.
00:A0:B7:00:00:00	CORDANT, INC.
00:A0:B8:00:00:00	Netapp
00:A0:B9:00:00:00	EAGLE TECHNOLOGY, INC.
00:A0:BA:00:00:00	PATTON ELECTRONICS CO.
00:A0:BB:00:00:00	HILAN GMBH
00:A0:BC:00:00:00	VIASAT, INCORPORATED
00:A0:BD:00:00:00	I-TECH CORP.
00:A0:BE:00:00:00	INTEGRATED CIRCUIT SYSTEMS, INC. COMMUNICATIONS GROUP
00:A0:BF:00:00:00	WIRELESS DATA GROUP MOTOROLA
00:A0:C0:00:00:00	DIGITAL LINK CORP.
00:A0:C1:00:00:00	ORTIVUS MEDICAL AB
00:A0:C2:00:00:00	R.A. SYSTEMS CO., LTD.
00:A0:C3:00:00:00	UNICOMPUTER GMBH
00:A0:C4:00:00:00	CRISTIE ELECTRONICS LTD.
00:A0:C5:00:00:00	ZyXEL Communications Corporation
00:A0:C6:00:00:00	Qualcomm Inc.
00:A0:C7:00:00:00	TADIRAN TELECOMMUNICATIONS
00:A0:C8:00:00:00	Adtran, Inc.
00:A0:C9:00:00:00	Intel (PRO100B and PRO100+) [used on Cisco PIX firewall among others]
00:A0:CA:00:00:00	FUJITSU DENSO LTD.
00:A0:CB:00:00:00	ARK TELECOMMUNICATIONS, INC.
00:A0:CC:00:00:00	Lite-On  (used by MacSense in Adapter for Mac, also seen in PCs)
00:A0:CD:00:00:00	DR. JOHANNES HEIDENHAIN GmbH
00:A0:CE:00:00:00	Ecessa
00:A0:CF:00:00:00	SOTAS, INC.
00:A0:D0:00:00:00	TEN X TECHNOLOGY, INC.
00:A0:D1:00:00:00	National Semiconductor  [COMPAQ Docking Station]
00:A0:D2:00:00:00	Allied Telesyn
00:A0:D3:00:00:00	INSTEM COMPUTER SYSTEMS, LTD.
00:A0:D4:00:00:00	RADIOLAN,  INC.
00:A0:D5:00:00:00	SIERRA WIRELESS INC.
00:A0:D6:00:00:00	SBE, Inc.
00:A0:D7:00:00:00	KASTEN CHASE APPLIED RESEARCH
00:A0:D8:00:00:00	SPECTRA - TEK
00:A0:D9:00:00:00	CONVEX COMPUTER CORPORATION
00:A0:DA:00:00:00	INTEGRATED SYSTEMS Technology, Inc.
00:A0:DB:00:00:00	FISHER & PAYKEL PRODUCTION
00:A0:DC:00:00:00	O.N. ELECTRONIC CO., LTD.
00:A0:DD:00:00:00	AZONIX CORPORATION
00:A0:DE:00:00:00	YAMAHA CORPORATION
00:A0:DF:00:00:00	STS TECHNOLOGIES, INC.
00:A0:E0:00:00:00	TENNYSON TECHNOLOGIES PTY LTD
00:A0:E1:00:00:00	WESTPORT RESEARCH ASSOCIATES, INC.
00:A0:E2:00:00:00	Keisokugiken Corporation
00:A0:E3:00:00:00	XKL SYSTEMS CORP.
00:A0:E4:00:00:00	OPTIQUEST
00:A0:E5:00:00:00	NHC COMMUNICATIONS
00:A0:E6:00:00:00	DIALOGIC CORPORATION
00:A0:E7:00:00:00	CENTRAL DATA CORPORATION
00:A0:E8:00:00:00	REUTERS HOLDINGS PLC
00:A0:E9:00:00:00	ELECTRONIC RETAILING SYSTEMS INTERNATIONAL
00:A0:EA:00:00:00	ETHERCOM CORP.
00:A0:EB:00:00:00	Encore Networks, Inc.
00:A0:EC:00:00:00	TRANSMITTON LTD.
00:A0:ED:00:00:00	Brooks Automation, Inc.
00:A0:EE:00:00:00	NASHOBA NETWORKS
00:A0:EF:00:00:00	LUCIDATA LTD.
00:A0:F0:00:00:00	TORONTO MICROELECTRONICS INC.
00:A0:F1:00:00:00	Mti
00:A0:F2:00:00:00	INFOTEK COMMUNICATIONS, INC.
00:A0:F3:00:00:00	Staubli
00:A0:F4:00:00:00	Ge
00:A0:F5:00:00:00	RADGUARD LTD.
00:A0:F6:00:00:00	AutoGas Systems Inc.
00:A0:F7:00:00:00	V.I COMPUTER CORP.
00:A0:F8:00:00:00	Zebra Technologies Inc
00:A0:F9:00:00:00	BINTEC COMMUNICATIONS GMBH
00:A0:FA:00:00:00	Marconi Communication GmbH
00:A0:FB:00:00:00	TORAY ENGINEERING CO., LTD.
00:A0:FC:00:00:00	IMAGE SCIENCES, INC.
00:A0:FD:00:00:00	SCITEX DIGITAL PRINTING, INC.
00:A0:FE:00:00:00	BOSTON TECHNOLOGY, INC.
00:A0:FF:00:00:00	TELLABS OPERATIONS, INC.
00:A1:DE:00:00:00	ShenZhen ShiHua Technology CO.,LTD
00:A2:89:00:00:00	Cisco Systems, Inc
00:A2:DA:00:00:00	INAT GmbH
00:A2:EE:00:00:00	Cisco Systems, Inc
00:A2:F5:00:00:00	Guangzhou Yuanyun Network Technology Co.,Ltd
00:A2:FF:00:00:00	abatec group AG
00:A5:09:00:00:00	WigWag Inc.
00:A6:CA:00:00:00	Cisco Systems, Inc
00:A7:42:00:00:00	Cisco Systems, Inc
00:A7:84:00:00:00	ITX security
00:AA:00:00:00:00	Intel
00:AA:01:00:00:00	Intel Corporation
00:AA:02:00:00:00	Intel Corporation
00:AA:3C:00:00:00	OLIVETTI TELECOM SPA (OLTECO)
00:AA:70:00:00:00	LG Electronics (Mobile Communications)
00:AC:E0:00:00:00	ARRIS Group, Inc.
00:AE:FA:00:00:00	Murata Manufacturing Co., Ltd.
00:AF:1F:00:00:00	Cisco Systems, Inc
00:B0:09:00:00:00	Grass Valley, A Belden Brand
00:B0:17:00:00:00	InfoGear Technology Corp.
00:B0:19:00:00:00	UTC CCS
00:B0:1C:00:00:00	Westport Technologies
00:B0:1E:00:00:00	Rantic Labs, Inc.
00:B0:2A:00:00:00	ORSYS GmbH
00:B0:2D:00:00:00	ViaGate Technologies, Inc.
00:B0:33:00:00:00	OAO Izhevskiy radiozavod
00:B0:3B:00:00:00	HiQ Networks
00:B0:48:00:00:00	Marconi Communications Inc.
00:B0:4A:00:00:00	Cisco Systems, Inc
00:B0:52:00:00:00	Atheros Communications
00:B0:64:00:00:00	Cisco Systems, Inc
00:B0:69:00:00:00	Honewell Oy
00:B0:6D:00:00:00	Jones Futurex Inc.
00:B0:80:00:00:00	Mannesmann Ipulsys B.V.
00:B0:86:00:00:00	LocSoft Limited
00:B0:8E:00:00:00	Cisco Systems, Inc
00:B0:91:00:00:00	Transmeta Corp.
00:B0:94:00:00:00	Alaris, Inc.
00:B0:9A:00:00:00	Morrow Technologies Corp.
00:B0:9D:00:00:00	Point Grey Research Inc.
00:B0:AC:00:00:00	SIAE-Microelettronica S.p.A.
00:B0:AE:00:00:00	Symmetricom
00:B0:B3:00:00:00	XSTREAMIS PLC
00:B0:C2:00:00:00	Cisco Systems, Inc
00:B0:C7:00:00:00	Tellabs Operations, Inc.
00:B0:CE:00:00:00	Viveris Technologies
00:B0:D0:00:00:00	Computer Products International
00:B0:DB:00:00:00	Nextcell, Inc.
00:B0:DF:00:00:00	Starboard Storage Systems
00:B0:E1:00:00:00	Cisco Systems, Inc
00:B0:E7:00:00:00	British Federal Ltd.
00:B0:EC:00:00:00	Eacem
00:B0:EE:00:00:00	Ajile Systems, Inc.
00:B0:F0:00:00:00	CALY NETWORKS
00:B0:F5:00:00:00	NetWorth Technologies, Inc.
00:B3:38:00:00:00	Kontron Design Manufacturing Services (M) Sdn. Bhd
00:B3:42:00:00:00	MacroSAN Technologies Co., Ltd.
00:B3:62:00:00:00	Apple, Inc.
00:B5:6D:00:00:00	David Electronics Co., LTD.
00:B5:D6:00:00:00	Omnibit Inc.
00:B7:8D:00:00:00	Nanjing Shining Electric Automation Co., Ltd
00:B9:F6:00:00:00	Shenzhen Super Rich Electronics Co.,Ltd
00:BA:C0:00:00:00	Biometric Access Company
00:BB:01:00:00:00	OCTOTHORPE CORP.
00:BB:3A:00:00:00	Private
00:BB:8E:00:00:00	HME Co., Ltd.
00:BB:C1:00:00:00	CANON INC.
00:BB:F0:00:00:00	UNGERMANN-BASS INC.
00:BD:27:00:00:00	Exar Corp.
00:BD:3A:00:00:00	Nokia Corporation
00:BD:82:00:00:00	Shenzhen YOUHUA Technology Co., Ltd
00:BF:15:00:00:00	Genetec Inc.
00:C0:00:00:00:00	Lanoptics Ltd
00:C0:01:00:00:00	Diatek Patient Managment
00:C0:02:00:00:00	Sercomm Corporation
00:C0:03:00:00:00	Globalnet Communications
00:C0:04:00:00:00	Japan Business Computer Co.Ltd
00:C0:05:00:00:00	Livingston Enterprises Inc Portmaster (OEMed by Cayman)
00:C0:06:00:00:00	Nippon Avionics Co Ltd
00:C0:07:00:00:00	Pinnacle Data Systems Inc
00:C0:08:00:00:00	Seco SRL
00:C0:09:00:00:00	KT Technology (s) Pte Inc
00:C0:0A:00:00:00	Micro Craft
00:C0:0B:00:00:00	Norcontrol A.S.
00:C0:0C:00:00:00	ARK PC Technology, Inc.
00:C0:0D:00:00:00	Advanced Logic Research Inc
00:C0:0E:00:00:00	Psitech Inc
00:C0:0F:00:00:00	QNX Software Systems Ltd. [also Quantum Software Systems Ltd]
00:C0:10:00:00:00	HIRAKAWA HEWTECH CORP.
00:C0:11:00:00:00	Interactive Computing Devices
00:C0:12:00:00:00	Netspan Corp
00:C0:13:00:00:00	Netrix
00:C0:14:00:00:00	Telematics Calabasas
00:C0:15:00:00:00	New Media Corp
00:C0:16:00:00:00	Electronic Theatre Controls
00:C0:17:00:00:00	Fluke
00:C0:18:00:00:00	Lanart Corp
00:C0:19:00:00:00	LEAP TECHNOLOGY, INC.
00:C0:1A:00:00:00	Corometrics Medical Systems
00:C0:1B:00:00:00	Socket Communications
00:C0:1C:00:00:00	Interlink Communications Ltd.
00:C0:1D:00:00:00	Grand Junction Networks, Inc. (Cisco Catalyst also reported)
00:C0:1E:00:00:00	LA FRANCAISE DES JEUX
00:C0:1F:00:00:00	S.E.R.C.E.L.
00:C0:20:00:00:00	Arco Electronic, Control Ltd.
00:C0:21:00:00:00	Netexpress
00:C0:22:00:00:00	LASERMASTER TECHNOLOGIES, INC.
00:C0:23:00:00:00	Tutankhamon Electronics
00:C0:24:00:00:00	Eden Sistemas De Computacao SA
00:C0:25:00:00:00	Dataproducts Corporation
00:C0:26:00:00:00	LANS TECHNOLOGY CO., LTD.
00:C0:27:00:00:00	Cipher Systems, Inc.
00:C0:28:00:00:00	Jasco Corporation
00:C0:29:00:00:00	Kabel Rheydt AG
00:C0:2A:00:00:00	Ohkura Electric Co
00:C0:2B:00:00:00	Gerloff Gesellschaft Fur
00:C0:2C:00:00:00	Centrum Communications, Inc.
00:C0:2D:00:00:00	Fuji Photo Film Co., Ltd.
00:C0:2E:00:00:00	Netwiz
00:C0:2F:00:00:00	Okuma Corp
00:C0:30:00:00:00	Integrated Engineering B. V.
00:C0:31:00:00:00	Design Research Systems, Inc.
00:C0:32:00:00:00	I-Cubed Limited
00:C0:33:00:00:00	Telebit Corporation
00:C0:34:00:00:00	Dale Computer Corporation
00:C0:35:00:00:00	Quintar Company
00:C0:36:00:00:00	Raytech Electronic Corp
00:C0:37:00:00:00	Dynatem
00:C0:38:00:00:00	RASTER IMAGE PROCESSING SYSTEM
00:C0:39:00:00:00	Silicon Systems
00:C0:3A:00:00:00	MEN-MIKRO ELEKTRONIK GMBH
00:C0:3B:00:00:00	Multiaccess Computing Corp
00:C0:3C:00:00:00	Tower Tech S.R.L.
00:C0:3D:00:00:00	Wiesemann & Theis Gmbh
00:C0:3E:00:00:00	Fa. Gebr. Heller Gmbh
00:C0:3F:00:00:00	Stores Automated Systems Inc
00:C0:40:00:00:00	Ecci
00:C0:41:00:00:00	Digital Transmission Systems
00:C0:42:00:00:00	Datalux Corp.
00:C0:43:00:00:00	Stratacom
00:C0:44:00:00:00	Emcom Corporation
00:C0:45:00:00:00	Isolation Systems Inc
00:C0:46:00:00:00	Kemitron Ltd
00:C0:47:00:00:00	Unimicro Systems Inc
00:C0:48:00:00:00	Bay Technical Associates
00:C0:49:00:00:00	US Robotics Total Control (tm) NETServer Card
00:C0:4A:00:00:00	GROUP 2000 AG
00:C0:4B:00:00:00	CREATIVE MICROSYSTEMS
00:C0:4C:00:00:00	DEPARTMENT OF FOREIGN AFFAIRS
00:C0:4D:00:00:00	Mitec Ltd
00:C0:4E:00:00:00	Comtrol Corporation
00:C0:4F:00:00:00	Dell
00:C0:50:00:00:00	Toyo Denki Seizo K.K.
00:C0:51:00:00:00	Advanced Integration Research
00:C0:52:00:00:00	BURR-BROWN
00:C0:53:00:00:00	Aspect Software Inc.
00:C0:54:00:00:00	NETWORK PERIPHERALS, LTD.
00:C0:55:00:00:00	Modular Computing Technologies
00:C0:56:00:00:00	Somelec
00:C0:57:00:00:00	Myco Electronics
00:C0:58:00:00:00	Dataexpert Corp
00:C0:59:00:00:00	Nippondenso Corp
00:C0:5A:00:00:00	SEMAPHORE COMMUNICATIONS CORP.
00:C0:5B:00:00:00	Networks Northwest Inc
00:C0:5C:00:00:00	Elonex PLC
00:C0:5D:00:00:00	L&N Technologies
00:C0:5E:00:00:00	Vari-Lite Inc
00:C0:5F:00:00:00	FINE-PAL COMPANY LIMITED
00:C0:60:00:00:00	ID Scandinavia A/S
00:C0:61:00:00:00	Solectek Corporation
00:C0:62:00:00:00	IMPULSE TECHNOLOGY
00:C0:63:00:00:00	Morning Star Technologies Inc May be miswrite of 0003C6
00:C0:64:00:00:00	General Datacomm Ind Inc
00:C0:65:00:00:00	Scope Communications Inc
00:C0:66:00:00:00	Docupoint, Inc.
00:C0:67:00:00:00	United Barcode Industries
00:C0:68:00:00:00	Philp Drake Electronics Ltd
00:C0:69:00:00:00	California Microwave Inc
00:C0:6A:00:00:00	Zahner-Elektrik Gmbh & Co KG
00:C0:6B:00:00:00	OSI Plus Corporation
00:C0:6C:00:00:00	SVEC Computer Corp
00:C0:6D:00:00:00	Boca Research, Inc.
00:C0:6E:00:00:00	HAFT TECHNOLOGY, INC.
00:C0:6F:00:00:00	Komatsu Ltd
00:C0:70:00:00:00	Sectra Secure-Transmission AB
00:C0:71:00:00:00	Areanex Communications, Inc.
00:C0:72:00:00:00	KNX Ltd
00:C0:73:00:00:00	Xedia Corporation
00:C0:74:00:00:00	Toyoda Automatic Loom Works Ltd
00:C0:75:00:00:00	Xante Corporation
00:C0:76:00:00:00	I-Data International A-S
00:C0:77:00:00:00	Daewoo Telecom Ltd
00:C0:78:00:00:00	Computer Systems Engineering
00:C0:79:00:00:00	Fonsys Co Ltd
00:C0:7A:00:00:00	Priva BV
00:C0:7B:00:00:00	Ascend Communications  ISDN bridges/routers
00:C0:7C:00:00:00	HIGHTECH INFORMATION
00:C0:7D:00:00:00	RISC Developments Ltd
00:C0:7E:00:00:00	KUBOTA CORPORATION ELECTRONIC
00:C0:7F:00:00:00	Nupon Computing Corp
00:C0:80:00:00:00	Netstar Inc
00:C0:81:00:00:00	Metrodata Ltd
00:C0:82:00:00:00	Moore Products Co
00:C0:83:00:00:00	TRACE MOUNTAIN PRODUCTS, INC.
00:C0:84:00:00:00	Data Link Corp Ltd
00:C0:85:00:00:00	Canon
00:C0:86:00:00:00	The Lynk Corporation
00:C0:87:00:00:00	UUNET Technologies Inc
00:C0:88:00:00:00	EKF ELEKTRONIK GMBH
00:C0:89:00:00:00	Telindus Distribution
00:C0:8A:00:00:00	Lauterbach Datentechnik Gmbh
00:C0:8B:00:00:00	RISQ Modular Systems Inc
00:C0:8C:00:00:00	Performance Technologies Inc
00:C0:8D:00:00:00	Tronix Product Development
00:C0:8E:00:00:00	Network Information Technology
00:C0:8F:00:00:00	Matsushita Electric Works, Ltd.
00:C0:90:00:00:00	Praim S.R.L.
00:C0:91:00:00:00	Jabil Circuit, Inc.
00:C0:92:00:00:00	Mennen Medical Inc
00:C0:93:00:00:00	Alta Research Corp.
00:C0:94:00:00:00	VMX INC.
00:C0:95:00:00:00	Znyx (Network Appliance); Jupiter Systems (MX-700); Apple (G3)  all seen
00:C0:96:00:00:00	Tamura Corporation
00:C0:97:00:00:00	Archipel SA
00:C0:98:00:00:00	Chuntex Electronic Co., Ltd.
00:C0:99:00:00:00	YOSHIKI INDUSTRIAL CO.,LTD.
00:C0:9A:00:00:00	PHOTONICS CORPORATION
00:C0:9B:00:00:00	Reliance Comm/Tec, R-Tec Systems Inc
00:C0:9C:00:00:00	TOA Electronic Ltd
00:C0:9D:00:00:00	Distributed Systems Int'l, Inc.
00:C0:9E:00:00:00	CACHE COMPUTERS, INC.
00:C0:9F:00:00:00	Quanta Computer Inc
00:C0:A0:00:00:00	Advance Micro Research, Inc.
00:C0:A1:00:00:00	Tokyo Denshi Sekei Co
00:C0:A2:00:00:00	Intermedium A/S
00:C0:A3:00:00:00	Dual Enterprises Corporation
00:C0:A4:00:00:00	Unigraf OY
00:C0:A5:00:00:00	DICKENS DATA SYSTEMS
00:C0:A6:00:00:00	EXICOM AUSTRALIA PTY. LTD
00:C0:A7:00:00:00	SEEL Ltd
00:C0:A8:00:00:00	GVC Corporation
00:C0:A9:00:00:00	Barron McCann Ltd
00:C0:AA:00:00:00	Silicon Valley Computer
00:C0:AB:00:00:00	Jupiter Technology Inc
00:C0:AC:00:00:00	Gambit Computer Communications
00:C0:AD:00:00:00	Computer Communication Systems
00:C0:AE:00:00:00	Towercom Co Inc DBA PC House
00:C0:AF:00:00:00	TEKLOGIX INC.
00:C0:B0:00:00:00	GCC Technologies,Inc.
00:C0:B1:00:00:00	GENIUS NET CO.
00:C0:B2:00:00:00	Norand Corporation
00:C0:B3:00:00:00	Comstat Datacomm Corporation
00:C0:B4:00:00:00	Myson Technology Inc
00:C0:B5:00:00:00	Corporate Network Systems Inc
00:C0:B6:00:00:00	Meridian Data Inc
00:C0:B7:00:00:00	American Power Conversion Corp
00:C0:B8:00:00:00	Fraser's Hill Ltd.
00:C0:B9:00:00:00	Funk Software Inc
00:C0:BA:00:00:00	Netvantage
00:C0:BB:00:00:00	Forval Creative Inc
00:C0:BC:00:00:00	TELECOM AUSTRALIA/CSSC
00:C0:BD:00:00:00	Inex Technologies, Inc.
00:C0:BE:00:00:00	Alcatel - Sel
00:C0:BF:00:00:00	Technology Concepts Ltd
00:C0:C0:00:00:00	Shore Microsystems Inc
00:C0:C1:00:00:00	Quad/Graphics Inc
00:C0:C2:00:00:00	Infinite Networks Ltd.
00:C0:C3:00:00:00	Acuson Computed Sonography
00:C0:C4:00:00:00	Computer Operational
00:C0:C5:00:00:00	SID Informatica
00:C0:C6:00:00:00	Personal Media Corp
00:C0:C7:00:00:00	SPARKTRUM MICROSYSTEMS, INC.
00:C0:C8:00:00:00	Micro Byte Pty Ltd
00:C0:C9:00:00:00	Bailey Controls Co
00:C0:CA:00:00:00	Alfa, Inc.
00:C0:CB:00:00:00	Control Technology Corporation
00:C0:CC:00:00:00	TELESCIENCES CO SYSTEMS, INC.
00:C0:CD:00:00:00	Comelta S.A.
00:C0:CE:00:00:00	CEI SYSTEMS & ENGINEERING PTE
00:C0:CF:00:00:00	IMATRAN VOIMA OY
00:C0:D0:00:00:00	Ratoc System Inc
00:C0:D1:00:00:00	Comtree Technology Corporation (EFA also reported)
00:C0:D2:00:00:00	Syntellect Inc
00:C0:D3:00:00:00	OLYMPUS IMAGE SYSTEMS, INC.
00:C0:D4:00:00:00	Axon Networks Inc
00:C0:D5:00:00:00	Quancom Electronic Gmbh
00:C0:D6:00:00:00	J1 Systems, Inc.
00:C0:D7:00:00:00	TAIWAN TRADING CENTER DBA
00:C0:D8:00:00:00	UNIVERSAL DATA SYSTEMS
00:C0:D9:00:00:00	Quinte Network Confidentiality Equipment Inc
00:C0:DA:00:00:00	NICE SYSTEMS LTD.
00:C0:DB:00:00:00	IPC Corporation (Pte) Ltd
00:C0:DC:00:00:00	EOS Technologies, Inc.
00:C0:DD:00:00:00	QLogic Corporation
00:C0:DE:00:00:00	ZComm Inc
00:C0:DF:00:00:00	Kye Systems Corp
00:C0:E0:00:00:00	DSC COMMUNICATION CORP.
00:C0:E1:00:00:00	Sonic Solutions
00:C0:E2:00:00:00	Calcomp, Inc.
00:C0:E3:00:00:00	Ositech Communications Inc
00:C0:E4:00:00:00	Landis & Gyr Powers Inc
00:C0:E5:00:00:00	GESPAC S.A.
00:C0:E6:00:00:00	Txport
00:C0:E7:00:00:00	Fiberdata AB
00:C0:E8:00:00:00	Plexcom Inc
00:C0:E9:00:00:00	Oak Solutions Ltd
00:C0:EA:00:00:00	Array Technology Ltd.
00:C0:EB:00:00:00	SEH COMPUTERTECHNIK GMBH
00:C0:EC:00:00:00	Dauphin Technology
00:C0:ED:00:00:00	US Army Electronic Proving Ground
00:C0:EE:00:00:00	Kyocera Corporation
00:C0:EF:00:00:00	Abit Corporation
00:C0:F0:00:00:00	Kingston Technology Corporation
00:C0:F1:00:00:00	Shinko Electric Co Ltd
00:C0:F2:00:00:00	Transition Engineering Inc
00:C0:F3:00:00:00	Network Communications Corp
00:C0:F4:00:00:00	Interlink System Co., Ltd.
00:C0:F5:00:00:00	Metacomp Inc
00:C0:F6:00:00:00	Celan Technology Inc.
00:C0:F7:00:00:00	Engage Communication, Inc.
00:C0:F8:00:00:00	About Computing Inc.
00:C0:F9:00:00:00	Artesyn Embedded Technologies
00:C0:FA:00:00:00	Canary Communications Inc
00:C0:FB:00:00:00	Advanced Technology Labs
00:C0:FC:00:00:00	ASDG Incorporated
00:C0:FD:00:00:00	Prosum
00:C0:FE:00:00:00	APTEC COMPUTER SYSTEMS, INC.
00:C0:FF:00:00:00	Box Hill Systems Corporation
00:C1:4F:00:00:00	DDL Co,.ltd.
00:C1:64:00:00:00	Cisco Systems, Inc
00:C1:B1:00:00:00	Cisco Systems, Inc
00:C2:C6:00:00:00	Intel Corporate
00:C5:DB:00:00:00	Datatech Sistemas Digitales Avanzados SL
00:C6:10:00:00:00	Apple, Inc.
00:C8:8B:00:00:00	Cisco Systems, Inc
00:CA:E5:00:00:00	Cisco Systems, Inc
00:CB:00:00:00:00	Private
00:CB:BD:00:00:00	Cambridge Broadband Networks Ltd.
00:CC:FC:00:00:00	Cisco Systems, Inc
00:CD:90:00:00:00	MAS Elektronik AG
00:CD:FE:00:00:00	Apple, Inc.
00:CF:1C:00:00:00	Communication Machinery Corporation
00:D0:00:00:00:00	FERRAN SCIENTIFIC, INC.
00:D0:01:00:00:00	VST TECHNOLOGIES, INC.
00:D0:02:00:00:00	DITECH CORPORATION
00:D0:03:00:00:00	COMDA ENTERPRISES CORP.
00:D0:04:00:00:00	PENTACOM LTD.
00:D0:05:00:00:00	ZHS ZEITMANAGEMENTSYSTEME
00:D0:06:00:00:00	Cisco Systems, Inc
00:D0:07:00:00:00	MIC ASSOCIATES, INC.
00:D0:08:00:00:00	MACTELL CORPORATION
00:D0:09:00:00:00	HSING TECH. ENTERPRISE CO. LTD
00:D0:0A:00:00:00	LANACCESS TELECOM S.A.
00:D0:0B:00:00:00	RHK TECHNOLOGY, INC.
00:D0:0C:00:00:00	SNIJDER MICRO SYSTEMS
00:D0:0D:00:00:00	MICROMERITICS INSTRUMENT
00:D0:0E:00:00:00	PLURIS, INC.
00:D0:0F:00:00:00	SPEECH DESIGN GMBH
00:D0:10:00:00:00	CONVERGENT NETWORKS, INC.
00:D0:11:00:00:00	PRISM VIDEO, INC.
00:D0:12:00:00:00	GATEWORKS CORP.
00:D0:13:00:00:00	PRIMEX AEROSPACE COMPANY
00:D0:14:00:00:00	ROOT, INC.
00:D0:15:00:00:00	UNIVEX MICROTECHNOLOGY CORP.
00:D0:16:00:00:00	SCM MICROSYSTEMS, INC.
00:D0:17:00:00:00	SYNTECH INFORMATION CO., LTD.
00:D0:18:00:00:00	QWES. COM, INC.
00:D0:19:00:00:00	DAINIPPON SCREEN CORPORATE
00:D0:1A:00:00:00	URMET  TLC S.P.A.
00:D0:1B:00:00:00	MIMAKI ENGINEERING CO., LTD.
00:D0:1C:00:00:00	SBS TECHNOLOGIES,
00:D0:1D:00:00:00	FURUNO ELECTRIC CO., LTD.
00:D0:1E:00:00:00	PINGTEL CORP.
00:D0:1F:00:00:00	Senetas Security
00:D0:20:00:00:00	AIM SYSTEM, INC.
00:D0:21:00:00:00	REGENT ELECTRONICS CORP.
00:D0:22:00:00:00	INCREDIBLE TECHNOLOGIES, INC.
00:D0:23:00:00:00	INFORTREND TECHNOLOGY, INC.
00:D0:24:00:00:00	Cognex Corporation
